School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Adams State,Rocky Mountain Athletic Conference,Ashlyn Bartley,Jr.,,,,USA,"Rio Rancho, N.M.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2027,Goalkeeper
Adams State,Rocky Mountain Athletic Conference,Lianna Albert,Jr.,,,,USA,"Flagstaff, Ariz.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2027,Goalkeeper
Adams State,Rocky Mountain Athletic Conference,Lauren Ocampo,So.,,,,USA,"Las Cruces, N.M.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Defender
Adams State,Rocky Mountain Athletic Conference,Yari Dedos-Pino,So.,,,,USA,"Albuquerque, N.M.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Defender
Adams State,Rocky Mountain Athletic Conference,Brianna Prete,Fr.,,,,USA,"Aurora, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2029,Forward
Adams State,Rocky Mountain Athletic Conference,Carissa Benavidez,Fr.,,,,USA,"Albuquerque, N.M",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2029,Defender
Adams State,Rocky Mountain Athletic Conference,Keira Robertson,So.,,,,USA,"Flagstaff, Ariz.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Midfielder
Adams State,Rocky Mountain Athletic Conference,Colette Tena,Jr.,,,,USA,"Grants, N.M.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2027,Midfielder
Adams State,Rocky Mountain Athletic Conference,Yessenia Valenzuela,Jr.,,,,USA,"Aurora, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2027,Midfielder
Adams State,Rocky Mountain Athletic Conference,Brissa Toribio Arellano,Sr.,,,,USA,"Aurora, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2026,Forward
Adams State,Rocky Mountain Athletic Conference,Erica McDermott,So.,,,,USA,"Cottonwood Heights, Utah",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Forward
Adams State,Rocky Mountain Athletic Conference,Angelica Figueroa,Sr.,,,,USA,"Buckeye, Ariz.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2026,Midfielder
Adams State,Rocky Mountain Athletic Conference,Emily Ibsen,Jr.,,,,USA,"Parker, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2027,Defender
Adams State,Rocky Mountain Athletic Conference,Anisia Ramirez,Fr.,,,,USA,"Phoenix, Ariz.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2029,Defender
Adams State,Rocky Mountain Athletic Conference,Madeline Everett,Fr.,,,,USA,"Albuquerque, N.M",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2029,Midfielder
Adams State,Rocky Mountain Athletic Conference,Karlee Caballero,R-Sr.,,,,USA,"Gilbert, Ariz.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2026,Midfielder
Adams State,Rocky Mountain Athletic Conference,Kylie Chavez,Sr.,,,,USA,"Albuquerque, N.M.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2026,Midfielder
Adams State,Rocky Mountain Athletic Conference,Hailey Kwiatkowski,R-Sr.,,,,USA,"Colorado Springs, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2026,Defender
Adams State,Rocky Mountain Athletic Conference,Denali Levin,So.,,,,USA,"Longmont, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Forward
Adams State,Rocky Mountain Athletic Conference,Iliana Fernandez,Fr.,,,,USA,"Oak Hills, Cali.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2029,Midfielder
Adams State,Rocky Mountain Athletic Conference,Cassandra Jaramillo,Jr.,,,,USA,"Albuquerque, N.M.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2027,Midfielder
Adams State,Rocky Mountain Athletic Conference,Ally Miles,Gr.,,,,USA,"Brighton, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2025,Defender
Adams State,Rocky Mountain Athletic Conference,Athena Huggins,So.,,,,USA,"Tucson, Ariz.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Forward
Adams State,Rocky Mountain Athletic Conference,Ella Lloyd,So.,,,,USA,"Castle Pines, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Forward
Adams State,Rocky Mountain Athletic Conference,Sophia Tice,So.,,,,USA,"Gilbert, Ariz.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Defender
Adams State,Rocky Mountain Athletic Conference,Annabell Haugen,So.,,,,USA,"Castle Rock, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2028,Midfielder
Adams State,Rocky Mountain Athletic Conference,Molly Lancaster,Jr.,,,,USA,"Brighton, Colo.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2027,Defender
Adams State,Rocky Mountain Athletic Conference,Grace Abbott,Jr.,,,,USA,"Hockinson, Wash.",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2027,Forward
Adams State,Rocky Mountain Athletic Conference,Alexa Navares,Fr.,,,,USA,"Kaneohe, Hawaii",,,https://asugrizzlies.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 41%,2029,Goalkeeper
Adelphi,Northeast-10 Conference,Peyton DeRouen,Jr.,,,,USA,"Southbury, Conn.",,,https://aupanthers.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 64%,2027,Goalkeeper
Adelphi,Northeast-10 Conference,Alba López Martínez,Sr.,,,,International,"Santa Ponsa, Mallorca, Spain",Spain,,https://aupanthers.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 64%,2026,Goalkeeper
Adelphi,Northeast-10 Conference,Julianna Violi,So.,,,,USA,"East Islip, N.Y.",,,https://aupanthers.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 64%,2028,Defender
Adelphi,Northeast-10 Conference,Jessica Schmitt,Sr.,,,,USA,"Port Jefferson Station, N.Y.",,,https://aupanthers.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 64%,2026,Forward
Adelphi,Northeast-10 Conference,Sarah Winnegar,So.,,,,USA,"Northport, N.Y.",,,https://aupanthers.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 64%,2028,Defender
Adelphi,Northeast-10 Conference,Isabella Banellis,Sr.,,,,USA,"Bellport, N.Y.",,,https://aupanthers.com/sports/womens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 64%,2026,Defender
