School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Abilene Christian,UAC,Abby Smith,Gr.,1083,18.0,18.0,USA,"Flower Mound, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2026,Midfielder
Abilene Christian,UAC,Amelia Leggett,Sr.,1289,20.0,20.0,USA,"Wylie, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2027,Forward
Abilene Christian,UAC,Raelin Miller,So.,548,18.0,0.0,USA,"Winter Park, Fla.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2029,Forward
Abilene Christian,UAC,Shakira Kafero-Roberts,So.,1088,20.0,16.0,International,"London, England",United Kingdom,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2029,Forward
Abilene Christian,UAC,Peyton Hill,R-Jr.,1287,20.0,18.0,USA,"Laguna Niguel, Calif.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2028,Forward
Abilene Christian,UAC,Emma Nylund,Sr.,924,20.0,7.0,USA,"San Antonio, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2027,Midfielder
Abilene Christian,UAC,Baylie Simon,Jr.,1732,20.0,18.0,USA,"Keller, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2028,Defender
Abilene Christian,UAC,Hannah Martin,Gr.,793,14.0,12.0,USA,"Clovis, Calif.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2026,Midfielder
Abilene Christian,UAC,Hannah Vetromile,Sr.,1428,20.0,15.0,USA,"Justin, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2027,Forward
Abilene Christian,UAC,McCarly Holloman,Sr.,1781,20.0,19.0,USA,"Midland, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2027,Defender
Abilene Christian,UAC,Nia Leslie,Jr.,675,19.0,2.0,USA,"Helotes, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2028,Forward
Abilene Christian,UAC,Jada Farrington,Fr.,762,15.0,8.0,USA,"Leawood, Kan.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2030,Defender
Abilene Christian,UAC,Katy Gregson,Jr.,1617,19.0,19.0,USA,"Frisco, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2028,Defender
Abilene Christian,UAC,Raegan Hollis,So.,718,20.0,5.0,USA,"Wylie, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2029,Forward
Abilene Christian,UAC,Gracie Kelly,So.,1800,20.0,20.0,USA,"Corona, Calif.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2029,Defender
Abilene Christian,UAC,Emma Konsmo,Sr.,149,5.0,2.0,USA,"Escondido, Calif.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2027,Goalkeeper
Abilene Christian,UAC,Bella Medrano,Fr.,1426,18.0,14.0,USA,"Lubbock, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2030,Goalkeeper
Abilene Christian,UAC,Amelia Miller,So.,250,9.0,2.0,USA,"Winter Park, Fla.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2029,Midfielder
Abilene Christian,UAC,Keely Niehues,Fr.,11,2.0,0.0,USA,"Olathe, Kan.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2030,Forward
Abilene Christian,UAC,Lili Ross,Sr.,237,6.0,4.0,USA,"Beaumont, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2027,Goalkeeper
Abilene Christian,UAC,Emma Taylor,Fr.,170,12.0,1.0,USA,"Frisco, Texas",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2030,Midfielder
Abilene Christian,UAC,Kylie Wilkins,Fr.,31,3.0,0.0,USA,"Temecula, Calif.",,https://acusports.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2030,Forward
Abilene Christian,UAC,Shelby Hollywood,Fr.,0,0,0,USA,"Salado, Texas",,,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2030,Forward
Abilene Christian,UAC,Brooke Piper,Fr.,0,0,0,International,"London, Ontario, Canada",Canada,,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2030,Defender
Abilene Christian,UAC,Aliyah Anderson,Sr.,0,0,0,USA,"Phoenix, Ariz.",,,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,High,,2027,Defender
Air Force,Mountain West,Annika Jost,So.,1295,19.0,19.0,USA,"Temecula, CA",,https://goairforcefalcons.com/sports/womens-soccer/stats/2025,https://goairforcefalcons.com/sports/womens-soccer/roster,High,,2029,Midfielder
Air Force,Mountain West,Kendall Rippley,Junior,1032,19.0,15.0,USA,"Broomfield, CO",,https://goairforcefalcons.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251013033635/https://goairforcefalcons.com/sports/womens-soccer/roster/kendall-rippley/23048,High,,2028,Forward
Air Force,Mountain West,Chase Borntreger,Jr.,975,19.0,18.0,USA,"Frederick, MD",,https://goairforcefalcons.com/sports/womens-soccer/stats/2025,https://goairforcefalcons.com/sports/womens-soccer/roster,High,,2028,Midfielder
Air Force,Mountain West,Zahra Friess,,571,17.0,1.0,,,,https://goairforcefalcons.com/sports/womens-soccer/stats/2025,,High,,,Forward
Air Force,Mountain West,Addie Doyle,Jr.,957,19.0,16.0,USA,"Centennial, CO",,https://goairforcefalcons.com/sports/womens-soccer/stats/2025,https://goairforcefalcons.com/sports/womens-soccer/roster,High,,2028,Midfielder
Air Force,Mountain West,Sammi Kinoshita,Freshman,369,18.0,0.0,USA,"Wailuku, HI",,https://goairforcefalcons.com/sports/womens-soccer/stats/2025,https://web.archive.org/web/20251013071916/https://goairforcefalcons.com/sports/womens-soccer/roster/kinoshita-sammi/23063,High,,2030,Midfielder
Air Force,Mountain West,Peyton Ferrell,,1434,19.0,19.0,,,,https://goairforcefalcons.com/sports/womens-soccer/stats/2025,,High,,,Midfielder
